Affix Type,Lvl,Name,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Source File
Prefix,43,Level of Swarmblade Form,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,6,Level of Swipe,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,35,Level of Symbols Of Hope,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80),affix_details_4
Prefix,30,Level of Synchronized Strike,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,12,Level of Teleport,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80),affix_details_4
Prefix,10,Level of Tempest Strike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,25,Level of Tornado,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,13,Level of Transplant,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,16,Level of Umbral Blades,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,15,Level of Upheaval,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,4,Level of Vengeance,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,19,Level of Void Cleave,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,25,Level of Volatile Reversal,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,17,Level of Volcanic Orb,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Wandering Spirits,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,14,Level of Warcry,86%,+1 | +(10 to 20),+1 | +(21 to 32),+1 | +(33 to 45),+1 | +(46 to 60),+2 | +(61 to 75),+3 | +(90 to 115),+4 | +(116 to 150),+6 | +(240 to 300),affix_details_4
Prefix,4,Level of Warpath,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,25,Level of Werebear Form,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,0,Lich's Envy Reforged | Spell Fire Damage for Infernal Shade per Active Dread Shade | Increased Area for Infernal Shade per Active Dread Shade,0%,+(2 to 3) | (4% to 7%),+(4 to 5) | (8% to 11%),+(6 to 7) | (12% to 15%),+(8 to 9) | (16% to 19%),+(10 to 12) | (20% to 24%),+(16 to 19) | (33% to 39%),+(20 to 24) | (40% to 48%),+(38 to 48) | (77% to 96%),affix_details_4
Prefix,0,Lich's Scorn Reforged | Dread Shade Damage and Effects Converted to Cold | Cold Damage with Spells and Attacks per Attached Infernal Shade for Minions affected by Dread Shade,0%,100%+3,100%+4,100%+5,100%+6,100%+7,100% | +(9 to 11),100% | +(12 to 15),100% | +(24 to 30),affix_details_4
Prefix,60,Lightning Critical Strike Multiplier,89%,+(16% to 17%),+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 29%),+(34% to 40%),+(41% to 50%),+(80% to 100%),affix_details_4
Prefix,0,Lightning Damage,50%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_4
Prefix,18,Lightning Damage And Leech,0%,+(3 to 4) | +(0.3% to 0.4%),+(5 to 6) | +(0.5% to 0.6%),+(7 to 8) | +(0.7% to 0.8%),+(9 to 11) | +(0.9% to 1.1%),+(12 to 15) | +(1.2% to 1.5%),+(19 to 24) | +(1.8% to 2.3%),+(25 to 30) | +(2.4% to 3%),+(41 to 45) | +(4.8% to 6%),affix_details_4
Prefix,4,Lightning Damage with Shurikens,89%,+(6 to 8) | +(50% to 51%),+(9 to 11) | +(52% to 53%),+(12 to 15) | +(54% to 55%),+(16 to 19) | +(56% to 57%),+(20 to 27) | +(58% to 60%),+(32 to 37) | +(61% to 62%),+(38 to 44) | +(63% to 64%),+(60 to 75) | +(90% to 100%),affix_details_4
Prefix,42,Lightning Penetration,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%),affix_details_4
Suffix,60,Lightning Penetration and Minion Lightning Penetration,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%),affix_details_4
Suffix,0,Lightning Resistance,30%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%),affix_details_4
Prefix,0,Locket of the Forgotten Knight Reforged | Chance to apply a Time Rot on Hit | Chance to create a Void Rift when you hit an enemy (2 second cooldown),0%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 10%) | +(9% to 10%),+(11% to 12%) | +(11% to 12%),+(13% to 14%) | +(13% to 15%),+(16% to 21%) | +(18% to 23%),+(22% to 28%) | +(24% to 30%),+(45% to 56%) | +(48% to 60%),affix_details_4
Prefix,0,Mana,0%,+(6 to 10),+(11 to 17),+(18 to 25),+(26 to 35),+(36 to 50),+(70 to 90),+(91 to 120),+(190 to 240),affix_details_4
Prefix,0,Mana,0%,+4%,+5%,+6%,+7%,+(8% to 10%),+(12% to 15%),+(16% to 20%),+(32% to 40%),affix_details_4
Prefix,36,Mana and Mana Regen,50%,+(10 to 17) | +(6% to 8%),+(18 to 25) | +(9% to 12%),+(26 to 34) | +(13% to 16%),+(35 to 45) | +(17% to 20%),+(46 to 60) | +(21% to 25%),+(75 to 90) | +(30% to 35%),+(91 to 120) | +(36% to 42%),+(192 to 240) | +(67% to 84%),affix_details_4
Prefix,43,Mana and Mana Spent Gained as Ward,0%,+(10 to 17) | +(10% to 14%),+(18 to 25) | +(15% to 20%),+(26 to 34) | +(21% to 27%),+(35 to 45) | +(28% to 35%),+(46 to 60) | +(36% to 50%),+(75 to 90) | +(65% to 80%),+(91 to 120) | +(81% to 100%),+(192 to 240) | +(160% to 200%),affix_details_4
Prefix,13,Mana efficiency with Decoy,89%,+(7% to 8%),+(9% to 10%),+(11% to 12%),+(13% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 80%),affix_details_4
Prefix,30,Mana efficiency with Synchronised Strike,89%,+(7% to 8%),+(9% to 10%),+(11% to 12%),+(13% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 80%),affix_details_4
Prefix,13,Mana Gained on Harvest Use,89%,(5 to 6),(7 to 8),(9 to 10),(11 to 12),(13 to 15),(19 to 23),(24 to 28),(35 to 42),affix_details_4
Prefix,23,Mana Gained when you directly Cast Smite,89%,+4,+5,+6,+7,+(8 to 10),+(12 to 14),+(15 to 18),+(23 to 27),affix_details_4
Prefix,12,Mana Gained when you use Rive and Hit at least one enemy,89%,3,4,5,6,(7 to 8),(9 to 11),(12 to 15),(19 to 23),affix_details_4
Prefix,12,Mana Gained when you use Vengeance and Hit at least one enemy,89%,3,4,5,6,(7 to 8),(9 to 11),(12 to 15),(19 to 23),affix_details_4
Prefix,0,Mana Regeneration,0%,+(10% to 14%),+(15% to 19%),+(20% to 24%),+(25% to 29%),+(30% to 38%),+(40% to 49%),+(50% to 60%),+(94% to 110%),affix_details_4
Prefix,39,Mana Spent Gained as Ward,89%,+(20% to 23%),+(24% to 27%),+(28% to 31%),+(32% to 35%),+(36% to 50%),+(60% to 75%),+(76% to 100%),+(160% to 200%),affix_details_4
Prefix,18,Max Ballista and Increased Ballista Attack Speed,89%,+1 | (8% to 11%),+1 | (12% to 15%),+1 | (16% to 19%),+1 | (21% to 24%),+1 | (25% to 30%),+2 | (35% to 40%),+2 | (41% to 48%),+3 | (75% to 84%),affix_details_4
Prefix,0,Melee Attack Speed,0%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 15%),+(18% to 23%),+(24% to 30%),+(46% to 53%),affix_details_4
Prefix,0,Melee Cold Damage,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100),affix_details_4
Prefix,0,Melee Critical Strike Chance,20%,+1%,+2%,+3%,+4%,+5%,+(7% to 8%),+(9% to 10%),+(14% to 18%),affix_details_4
Prefix,0,Melee Damage,0%,+(10% to 19%),+(20% to 30%),+(31% to 43%),+(45% to 58%),+(60% to 85%),+(100% to 139%),+(140% to 180%),+(288% to 360%),affix_details_4
Prefix,10,Melee Damage Leeched as Health,0%,+(2.3% to 2.9%),+(3% to 3.6%),+(3.7% to 4.3%),+(4.4% to 5%),+(5.1% to 6.3%),+(7.5% to 9.5%),+(9.6% to 12.5%),+(20% to 25%),affix_details_4
Prefix,28,Melee Damage While Transformed,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%),affix_details_4
Prefix,36,Melee Elemental Damage,89%,+(30% to 33%),+(34% to 37%),+(38% to 43%),+(43% to 48%),+(48% to 57%),+(70% to 85%),+(86% to 110%),+(176% to 220%),affix_details_4
Prefix,0,Melee Fire Damage,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100),affix_details_4
Prefix,0,Melee Lightning Damage,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100),affix_details_4
Prefix,0,Melee Physical Damage,0%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100),affix_details_4
Prefix,57,Melee Physical Damage if wielding a Mace,89%,+10,+11,+12,+13,+(14 to 17),+(21 to 26),+(27 to 32),+(51 to 64),affix_details_4
Prefix,48,Melee Physical Damage if wielding a Sword,89%,+6,+7,+8,+(9 to 10),+(11 to 13),+(17 to 21),+(22 to 26),+(42 to 52),affix_details_4
Prefix,0,Melee Void Damage,0%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100),affix_details_4
Prefix,0,Meteor Champion's | Fire Damage Over Time | Bleed Chance Converted to Ignite Chance,0%,+(15% to 29%) | +100%,+(30% to 50%) | +100%,+(51% to 74%) | +100%,+(75% to 105%) | +100%,+(106% to 150%) | +100%,+(200% to 260%) | +100%,+(261% to 350%) | +100%,+(560% to 700%) | +100%,affix_details_4
Prefix,46,Minion Area and Damage,70%,(6% to 7%) | +(5% to 10%),(8% to 9%) | +(11% to 18%),(10% to 12%) | +(20% to 27%),(13% to 15%) | +(28% to 35%),(16% to 18%) | +(36% to 50%),(23% to 27%) | +(65% to 80%),(28% to 33%) | +(81% to 105%),(55% to 65%) | +(175% to 210%),affix_details_4
Prefix,36,Minion Chance to Inflict Bleed on Hit,89%,+(30% to 34%),+(35% to 39%),+(40% to 44%),+(45% to 51%),+(52% to 62%),+(75% to 90%),+(91% to 110%),+(176% to 220%),affix_details_4
Prefix,36,Minion Critical Strike Multiplier,89%,+15%,+(16% to 17%),+(18% to 20%),+(21% to 23%),+(24% to 29%),+(36% to 44%),+(45% to 55%),+(88% to 110%),affix_details_4
Prefix,0,Minion Damage,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_4
Prefix,30,Minion Dodge Rating,70%,+(35 to 65),+(66 to 100),+(101 to 160),+(161 to 250),+(251 to 400),+(500 to 650),+(651 to 1000),+(1600 to 2000),affix_details_4
Prefix,53,Minion Freeze Rate Multiplier,89%,+(50% to 69%),+(70% to 89%),+(90% to 109%),+(110% to 139%),+(140% to 190%),+(240% to 300%),+(301% to 380%),+(608% to 760%),affix_details_4
Prefix,6,Minion Health,40%,+(15% to 35%),+(36% to 55%),+(56% to 75%),+(76% to 100%),+(101% to 150%),+(190% to 230%),+(231% to 300%),+(500% to 600%),affix_details_4
Prefix,13,Minion Health Regen,70%,+(6 to 10),+(11 to 20),+(21 to 35),+(36 to 60),+(61 to 90),+(120 to 150),+(151 to 200),+(320 to 400),affix_details_4
Suffix,20,Minion Melee and Bow Damage,70%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56),affix_details_4
Prefix,32,Void Damage Over Time,89%,+(40% to 45%),+(46% to 51%),+(52% to 57%),+(58% to 63%),+(64% to 75%),+(90% to 110%),+(111% to 140%),+(224% to 280%),affix_details_6
Prefix,34,Void Damage Taken as Physical,89%,+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 25%),+(26% to 30%),+(36% to 44%),+(45% to 55%),+(88% to 100%),affix_details_6
Prefix,42,Void Penetration,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%),affix_details_6
Suffix,60,Void Penetration and Minion Void Penetration,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%),affix_details_6
Suffix,6,Void Resistance,0%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%),affix_details_6
Prefix,28,Volatile Zombie Speed and Damage,89%,(13% to 16%) | (30% to 39%),(17% to 20%) | (40% to 50%),(21% to 24%) | (51% to 64%),(26% to 29%) | (65% to 80%),(30% to 35%) | (81% to 100%),(40% to 50%) | (131% to 160%),(51% to 65%) | (161% to 200%),(104% to 130%) | (320% to 400%),affix_details_6
Prefix,0,Volcano Champion's | Elemental Critical Strike Chance | Chance to cast Fire Aura on Crit (1 second cooldown),0%,+(14% to 18%) | +4%,+(19% to 23%) | +5%,+(24% to 28%) | +(6% to 7%),+(29% to 33%) | +(8% to 9%),+(34% to 40%) | +(10% to 11%),+(50% to 59%) | +(14% to 17%),+(60% to 70%) | +(18% to 22%),+(112% to 140%) | +(35% to 44%),affix_details_6
Prefix,31,Ward and Ailment Cleansing on Potion Use,75%,(20 to 30) | 100%,(31 to 40) | 100%,(51 to 60) | 100%,(61 to 75) | 100%,(76 to 100) | 100%,(130 to 170) | 100%,(171 to 220) | 100%,(440 to 500) | 100%,affix_details_6
Prefix,40,Ward Gained on Kill,90%,(3 to 5),(6 to 8),(9 to 11),(12 to 14),(15 to 19),(24 to 30),(31 to 38),(61 to 76),affix_details_6
Prefix,10,Ward Gained on Potion Use,60%,(20 to 30),(31 to 45),(46 to 60),(65 to 80),(81 to 110),(150 to 185),(186 to 250),(400 to 500),affix_details_6
Prefix,4,Ward gained on use with Shift,89%,+(16 to 20),+(21 to 25),+(26 to 30),+(31 to 40),+(41 to 50),+(65 to 80),+(81 to 100),+(160 to 200),affix_details_6
Prefix,8,Ward gained on use with Smoke Bomb,89%,(25 to 29),(30 to 35),(36 to 45),(46 to 55),(56 to 70),(90 to 110),(111 to 145),(232 to 290),affix_details_6
Prefix,29,Ward Gained per Rune consumed with Runic Invocation,89%,+(14 to 19),+(20 to 26),+(27 to 35),+(36 to 45),+(46 to 60),+(75 to 90),+(91 to 115),+(184 to 230),affix_details_6
Suffix,0,Ward gained when damage leaves you at low health,0%,(40 to 43),(44 to 47),(48 to 51),(52 to 55),(56 to 60),(70 to 79),(80 to 90),(144 to 180),affix_details_6
Prefix,18,Ward Gained When You Create a Shadow,89%,(16 to 20),(21 to 25),(26 to 30),(31 to 37),(38 to 50),(65 to 85),(86 to 110),(150 to 180),affix_details_6
Suffix,22,Ward per Second,50%,+(8 to 9),+(10 to 12),+(13 to 16),+(17 to 21),+(22 to 28),+(33 to 42),+(43 to 56),+(90 to 112),affix_details_6
Suffix,0,Ward Per Second and Ward Decay Threshold,65%,+(6 to 7) | +(40 to 50),+(8 to 9) | +(51 to 63),+(10 to 11) | +(64 to 78),+(12 to 14) | +(79 to 95),+(15 to 20) | +(96 to 114),+(24 to 30) | +(150 to 180),+(31 to 40) | +(181 to 230),+(64 to 80) | +(368 to 460),affix_details_6
Prefix,49,Ward per Second for you or your allies while standing on your Glyph of Dominion,89%,+(14 to 20),+(21 to 29),+(30 to 42),+(43 to 60),+(61 to 85),+(105 to 130),+(131 to 170),+(272 to 340),affix_details_6
Prefix,0,Whirlpool Champion's | Ward Decay Threshold | Ward per second per Active Maelstrom,0%,+(35 to 43) | +1,+(44 to 65) | +1,+(66 to 90) | +1,+(91 to 135) | +1,+(136 to 200) | +2,+(240 to 300) | +3,+(301 to 400) | +4,+(640 to 800) | +(6 to 8),affix_details_6
Prefix,0,Zerrick's Ambition Reforged | Increased Leech Rate | Movement Speed,0%,(6% to 7%) | +4%,(8% to 9%) | +5%,(10% to 11%) | +6%,(12% to 13%) | +7%,(14% to 15%) | +8%,(25% to 29%) | +(12% to 13%),(30% to 35%) | +(14% to 16%),(56% to 70%) | +(23% to 26%),affix_details_6
Prefix,0,Zerrick's Greed Reforged | Damage Over Time | Damage Leeched as Health on Crit,0%,+(10% to 19%) | +0.1%,+(20% to 29%) | +0.1%,+(30% to 39%) | +0.1%,+(40% to 49%) | +0.1%,+(50% to 60%) | +0.2%,+(80% to 99%) | +0.3%,+(100% to 130%) | +0.4%,+(208% to 260%) | +(0.6% to 0.8%),affix_details_6
Prefix,0,Zerrick's Guile Reforged | Melee Attack Speed for 4 seconds when you use a Potion | Throwing Attack Speed for 4 seconds when you use a Potion,0%,+(6% to 7%) | +(6% to 7%),+(8% to 9%) | +(8% to 9%),+(10% to 11%) | +(10% to 11%),+(12% to 13%) | +(12% to 13%),+(14% to 15%) | +(14% to 15%),+(20% to 24%) | +(20% to 24%),+(25% to 30%) | +(25% to 30%),+(46% to 53%) | +(46% to 53%),affix_details_6
